company_name	company_type	company_size	is_listed
三江村投资控股有限公司	物流/仓储	10000人以上	不需要融资
鸿星尔克(厦门)投资管理有限公司	电子商务	10000人以上	不需要融资
三亚亚龙湾开发股份有限公司	酒店	100-499人	不需要融资
上海上澜实业有限公司	通信/网络设备	0-20人	B轮
上海信而富企业管理有限公司	互联网金融	1000-9999人	已上市
上海华与华营销咨询有限公司	广告/公关/会展	0-20人	不需要融资
上海丝芭文化传媒集团有限公司	互联网	500-999人	D轮及以上
上海卓悠网络科技有限公司	移动互联网	100-499人	已上市
上海古猿人投资(集团)有限公司	广播/影视	20-99人	天使轮
上海上美化妆品有限公司	音乐/视频/阅读	20-99人	未融资
上海国际集团有限公司	在线教育	20-99人	未融资
上海大宁资产经营(集团)有限公司	医疗/护理/卫生	500-999人	无信息
